pipeline_name,task_name,runtime,retry_count,rows_processed,schema_change,upstream_failed,error_log,root_cause,timestamp
user_etl_pipeline,load_users,45,4,22,False,True,DataNotReadyError: partition not yet available. Upstream ETL may be delayed.,Missing Data,2024-02-18T22:52:00+00:00
inventory_sync,push_updates,12,3,66,False,False,EmptyDatasetError: source query returned 0 rows. Expected at least 10000.,Missing Data,2024-03-27T06:34:00+00:00
cloud_infra_pipeline,parse_events,191,1,287748,False,False,"DiskFullError: /tmp is at 100% capacity on pod productpage-v1-7f4c6b8f9-6b9r5. Cannot write results. Context: stderr F [1][warning][config] [./source/common/config/grpc_stream.h:160] StreamAggregatedResources gRPC config stream closed: 3, Resource not found: m",Resource Exhaustion,2023-12-07T22:47:00+00:00
search_index_pipeline,fetch_catalog,21,2,0,False,True,UpstreamFailure: sensor timed out waiting for DAG 'payment_pipeline' to complete.,Dependency Failure,2024-02-15T03:29:00+00:00
security_scan_pipeline,audit_resources,1946,3,420615,False,False,"MemoryError: unable to allocate 11.1 GiB. Worker OOM killed by kernel. Context: stderr F [1][warning][config] [./source/common/config/grpc_stream.h:160] StreamAggregatedResources gRPC config stream closed: 3, Resource not found: m",Resource Exhaustion,2023-12-07T05:43:00+00:00
payment_pipeline,validate_payments,30,4,87,False,True,FileNotFoundError: s3://data-lake/users/2026-03-01/part-00000.parquet does not exist.,Missing Data,2024-01-13T14:41:00+00:00
service_mesh_pipeline,aggregate_kpi,420,2,437276,False,False,ResourceError: CPU throttled. Container exceeds cgroup limit on pod details-v1-79548dfc8f-22flc. Context: ERROR `/' not found. | FATAL SignalException: SIGTERM | ERROR `/' not found.,Resource Exhaustion,2024-02-16T23:48:00+00:00
customer_360_pipeline,merge_profiles,540,1,116466,False,False,DuplicateKeyError: 340 duplicate primary keys found in 'users' table.,Data Quality Issue,2024-01-18T12:36:00+00:00
billing_pipeline,apply_pricing,115,0,44,True,True,DataTypeError: column 'is_active' changed from boolean to varchar.,Schema Change,2024-01-26T20:39:00+00:00
analytics_pipeline,aggregate_daily,739,2,163335,False,False,"FormatError: 890 rows in 'phone_number' don't match pattern +[0-9]{10,15}.",Data Quality Issue,2024-01-29T23:18:00+00:00
security_scan_pipeline,check_endpoints,1942,3,478708,False,False,"DiskFullError: /tmp is at 100% capacity on pod productpage-v1-7f4c6b8f9-6b9r5. Cannot write results. Context: stderr F [1][warning][config] [./source/common/config/grpc_stream.h:160] StreamAggregatedResources gRPC config stream closed: 3, Resource not found: m",Resource Exhaustion,2023-12-07T20:46:00+00:00
service_mesh_pipeline,check_pod_health,2759,2,410074,False,False,"KilledWorker: task exceeded memory limit and was killed by orchestrator on ip-10-1-100-109|web|ap-. Context: ip-10-1-100-128 systemd: Started Session 133 of user root. | ip-10-1-100-128 dhclient[2114]: XMT: Solicit on eth0, interval 120740ms. | ip-10-1-13-87 ec2net: [get_meta] Trying to get http://169.254.169.254/latest/meta-data/network/interfaces/macs/0e:1a:8b:75:10:6b/local-ipv4s",Resource Exhaustion,2024-01-24T11:58:00+00:00
